"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5"
"GAMMA",1,,,0.283201294642061,0.244734278609412,0.0680988668159362,0.21317605129383,0.190789508638761
"GAMMA",2,,,0.293649398017972,0.24694920758581,0.0291775070829804,0.23303426384092,0.197189623472318
"RHO",1,"H0",1,0.982360800342448,0.984186436183788,0.77361694520752,0.989693244867664,0.981449303659634
"RHO",1,"H1",1,0.994523797186648,0.993316448016809,0.862501563748332,0.996377134465823,0.993965998952941
"RHO",1,"H2",1,0.995848496478278,0.995169487341382,0.921363081881234,0.996291707315246,0.997060990797603
"RHO",1,"H3",1,0.995556297225317,0.994855727662862,0.94494759131342,0.997637958071516,0.994212457363643
"RHO",1,"H4",1,0.993452961909634,0.994886512775637,0.964484569232658,0.992090209699927,0.992662868329496
"RHO",1,"H5",1,0.988807504289186,0.991644641172237,0.968264737976154,0.982764192817529,0.983548820889468
"RHO",1,"H6",1,0.886926992644638,0.887139105093392,0.861459052300743,0.839077895001797,0.870486986662276
"RHO",1,"H7",1,0.709331227981286,0.697873152718315,0.78126840838277,0.629497614655387,0.655013069372779
"RHO",1,"H8",1,0.6296729231462,0.655929056332896,0.697837165592959,0.582068023001568,0.628651130277557
"RHO",1,"H9",1,0.676323752653352,0.675219080103254,0.632596468598636,0.669679660650668,0.630181588994508
"RHO",1,"H10",1,0.6374905819927,0.658749687598435,0.61000731274004,0.629993537149186,0.612709653756659
"RHO",1,"H11",1,0.674465906518016,0.753844639200243,0.668208890635683,0.83442153259614,0.660671606896758
"RHO",1,"H12",1,0.903393565507724,0.649193541888135,0.615867934236149,5.6057279267961e-017,0.816872079887628
"RHO",1,"H13",1,0.312263180627918,0.553963492053324,0.576326773840663,0.893613240886107,0.296573803723106
"RHO",1,"H14",1,0.761079156937892,0.764066629682694,0.573620907577709,0.73757511960095,0.732836853838982
"RHO",1,"H15",1,0.685396455556514,0.701818757617676,0.669029484978546,0.651881576440816,0.680386035885966
"RHO",1,"H16",1,0.735871558699883,0.732806154158747,0.613118294866932,0.705665218483394,0.63118017533716
"RHO",1,"H17",1,0.675860744444252,0.736262298166112,0.598654333634092,0.618625650982534,0.778025702781966
"RHO",1,"H18",1,0.44943297613242,0.643972763578165,0.594016514257204,0.566910924086515,0.759495156606337
"RHO",1,"H19",1,0.999879375173638,0.688674032571176,0.553293478852616,0.680286521434138,1.52127697465836e-032
"RHO",1,"H20",1,0.599064047275511,0.688639704620803,0.3833379497494,0.604066698869846,0.71556030793474
"RHO",1,"H21",1,0.640983800050585,0.7154286841111,0.442848439621521,0.662151224889085,0.65006356913836
"RHO",1,"H22",1,0.769325945057818,0.807700573728344,0.332874806649805,0.793802160028172,0.752743632060715
"RHO",1,"H23",1,0.932242732789968,0.941887239936761,0.61601078847613,0.954148132869589,0.929389354878801
"RHO",1,"H0",2,0.00111030417909902,0.0126688150281603,0.0870044738463581,9.47037210227486e-105,0.00114935960501564
"RHO",1,"H1",2,7.57053967781148e-296,0.0054940414616311,0.0344183534513939,0.000222931238820133,0.000118443247203046
"RHO",1,"H2",2,0.00012764603392146,0.0033090507761787,0.0263351748207248,0,0
"RHO",1,"H3",2,9.47627324868931e-005,0.00393972609917801,0.0114722059557681,4.35005736327018e-116,0.000187462620178712
"RHO",1,"H4",2,0,0.00410705406634632,0.00711149502965958,0.000294123441955652,0.000790679407241025
"RHO",1,"H5",2,0.000200756984575568,0.00611563311321671,0.0038670559109823,0.00090822012416395,0.000725830697153634
"RHO",1,"H6",2,0.0104391263325112,0.0901046480248959,0.0237737573817744,0.0157910041859838,0.0178523857036944
"RHO",1,"H7",2,0.0156168875957127,0.236301650990721,0.0165571576121007,0.0148794352686514,0.0131675129235996
"RHO",1,"H8",2,0.0206822658890569,0.270881212743734,0.0483442805050783,0.0268441364580879,0.0168953640299301
"RHO",1,"H9",2,0.00938889927115325,0.253985965526894,0.0522341508306783,0.0110117593735649,0.0182852523327802
"RHO",1,"H10",2,0.0196316735606268,0.26352102902173,0.0498717153770683,0.013667992289151,0.0193347122796843
"RHO",1,"H11",2,0.0160897287243112,0.190919324054671,0.0342202442590367,0.00852240168024497,0.0206109466291527
"RHO",1,"H12",2,0.0109335015138251,0.306770212140341,0.035726454619257,0.0845459912902652,0.0165191137495624
"RHO",1,"H13",2,0.058961728511756,0.393613562470677,0.0608532246545764,0.00585400669185015,0.063760248972605
"RHO",1,"H14",2,0.0180095422709034,0.18910952322182,0.0627676553861429,0.0141662045480641,0.0173821582112254
"RHO",1,"H15",2,0.0156462881150806,0.229480409538324,0.0502716880596242,0.019804152522165,0.0172480199510935
"RHO",1,"H16",2,0.0191934643092183,0.211091209435159,0.0751270822722951,0.0245239279531911,0.0254646008358784
"RHO",1,"H17",2,0.035736562328205,0.232401423925235,0.09098210379152,0.0484504912566929,0.0303299158690414
"RHO",1,"H18",2,0.070810279939909,0.321401079165419,0.120850139772316,0.0542096626368308,0.0405449161343093
"RHO",1,"H19",2,7.90536694132886e-018,0.268557492571077,0.182349456431423,0.0500493649411498,0.15343748919159
"RHO",1,"H20",2,0.0547667566490344,0.260636755919921,0.290618570798351,0.0594289017769846,0.043682958302819
"RHO",1,"H21",2,0.0464446262153768,0.231808969039482,0.332428662167852,0.0489464442318976,0.0495629966129341
"RHO",1,"H22",2,0.0273369021941155,0.151931935303373,0.360316568635313,0.0198173518625927,0.0273048516052179
"RHO",1,"H23",2,0.0044438226041631,0.0475139748321188,0.195658900177177,0.00185839342582506,0.00575494502705638
"RHO",1,"H0",3,0.016528895478453,0.00314474878805148,0.139378580946122,0.0103067551323363,0.01740133673535
"RHO",1,"H1",3,0.0054762028133524,0.00118951052155978,0.103080082800275,0.00339993429535673,0.00591555779985623
"RHO",1,"H2",3,0.00402385748780099,0.00152146188243916,0.0523017432980411,0.00370829268475412,0.00293900920239733
"RHO",1,"H3",3,0.0043489400421965,0.00120454623795969,0.043580202730812,0.00236204192848398,0.00560008001617865
"RHO",1,"H4",3,0.00654703809036609,0.00100643315801683,0.0284039357376822,0.0076156668581176,0.00654645226326257
"RHO",1,"H5",3,0.0109917387262388,0.00223972571454644,0.0278682061128638,0.0163275870583069,0.0157253484133788
"RHO",1,"H6",3,0.102633881022851,0.0227562468817122,0.114767190317483,0.14513110081222,0.111660627634029
"RHO",1,"H7",3,0.275051884423001,0.0658251962909649,0.20217443400513,0.355622950075962,0.331819417703622
"RHO",1,"H8",3,0.349644810964743,0.0731897309233704,0.253818553901963,0.391087840540345,0.354453505692513
"RHO",1,"H9",3,0.314287348075495,0.070794954369852,0.315169380570686,0.319308579975767,0.351533158672712
"RHO",1,"H10",3,0.342877744446673,0.0777292833798346,0.340120971882892,0.356338470561663,0.367955633963657
"RHO",1,"H11",3,0.309444364757672,0.0552360367450865,0.297570865105281,0.157056065723615,0.31871744647409
"RHO",1,"H12",3,0.0856729329784509,0.0440362459715244,0.348405611144594,0.915454008709735,0.16660880636281
"RHO",1,"H13",3,0.628775090860326,0.0524229454759995,0.362820001504761,0.100532752422042,0.639665947304289
"RHO",1,"H14",3,0.220911300791204,0.0468238470954862,0.363611437036148,0.248258675850985,0.249780987949792
"RHO",1,"H15",3,0.298957256328406,0.0687008328439998,0.280698826961829,0.328314271037019,0.30236594416294
"RHO",1,"H16",3,0.244934976990899,0.0561026364060949,0.311754622860773,0.269810853563415,0.343355223826961
"RHO",1,"H17",3,0.288402693227543,0.0313362779086537,0.310363562574388,0.332923857760773,0.191644381348992
"RHO",1,"H18",3,0.479756743927671,0.034626157256416,0.28513334597048,0.378879413276654,0.199959927259354
"RHO",1,"H19",3,0.00012062482636247,0.0427684748577464,0.264357064715961,0.269664113624713,0.84656251080841
"RHO",1,"H20",3,0.346169196075454,0.0507235394592767,0.326043479452248,0.336504399353169,0.240756733762441
"RHO",1,"H21",3,0.312571573734038,0.0527623468494182,0.224722898210627,0.288902330879018,0.300373434248706
"RHO",1,"H22",3,0.203337152748066,0.0403674909682835,0.306808624714882,0.186380488109235,0.219951516334068
"RHO",1,"H23",3,0.063313444605869,0.0105987852311205,0.188330311346694,0.043993473704586,0.0648557000941429
"RHO",2,"H0",1,0.982360800342448,0.984186436183788,0.77361694520752,0.989693244867664,0.981449303659634
"RHO",2,"H1",1,0.994523797186648,0.993316448016809,0.862501563748332,0.996377134465823,0.993965998952941
"RHO",2,"H2",1,0.995848496478278,0.995169487341382,0.921363081881234,0.996291707315246,0.997060990797603
"RHO",2,"H3",1,0.995556297225317,0.994855727662862,0.94494759131342,0.997637958071516,0.994212457363643
"RHO",2,"H4",1,0.993452961909634,0.994886512775637,0.964484569232658,0.992090209699927,0.992662868329496
"RHO",2,"H5",1,0.988807504289186,0.991644641172237,0.968264737976154,0.982764192817529,0.983548820889468
"RHO",2,"H6",1,0.886926992644638,0.887139105093392,0.861459052300743,0.839077895001797,0.870486986662276
"RHO",2,"H7",1,0.709331227981286,0.697873152718315,0.78126840838277,0.629497614655387,0.655013069372779
"RHO",2,"H8",1,0.6296729231462,0.655929056332896,0.697837165592959,0.582068023001568,0.628651130277557
"RHO",2,"H9",1,0.676323752653352,0.675219080103254,0.632596468598636,0.669679660650668,0.630181588994508
"RHO",2,"H10",1,0.6374905819927,0.658749687598435,0.61000731274004,0.629993537149186,0.612709653756659
"RHO",2,"H11",1,0.674465906518016,0.753844639200243,0.668208890635683,0.83442153259614,0.660671606896758
"RHO",2,"H12",1,0.903393565507724,0.649193541888135,0.615867934236149,5.6057279267961e-017,0.816872079887628
"RHO",2,"H13",1,0.312263180627918,0.553963492053324,0.576326773840663,0.893613240886107,0.296573803723106
"RHO",2,"H14",1,0.761079156937892,0.764066629682694,0.573620907577709,0.73757511960095,0.732836853838982
"RHO",2,"H15",1,0.685396455556514,0.701818757617676,0.669029484978546,0.651881576440816,0.680386035885966
"RHO",2,"H16",1,0.735871558699883,0.732806154158747,0.613118294866932,0.705665218483394,0.63118017533716
"RHO",2,"H17",1,0.675860744444252,0.736262298166112,0.598654333634092,0.618625650982534,0.778025702781966
"RHO",2,"H18",1,0.44943297613242,0.643972763578165,0.594016514257204,0.566910924086515,0.759495156606337
"RHO",2,"H19",1,0.999879375173638,0.688674032571176,0.553293478852616,0.680286521434138,1.52127697465836e-032
"RHO",2,"H20",1,0.599064047275511,0.688639704620803,0.3833379497494,0.604066698869846,0.71556030793474
"RHO",2,"H21",1,0.640983800050585,0.7154286841111,0.442848439621521,0.662151224889085,0.65006356913836
"RHO",2,"H22",1,0.769325945057818,0.807700573728344,0.332874806649805,0.793802160028172,0.752743632060715
"RHO",2,"H23",1,0.932242732789968,0.941887239936761,0.61601078847613,0.954148132869589,0.929389354878801
"RHO",2,"H0",2,0.00111030417909902,0.0126688150281603,0.0870044738463581,9.47037210227486e-105,0.00114935960501564
"RHO",2,"H1",2,7.57053967781148e-296,0.0054940414616311,0.0344183534513939,0.000222931238820133,0.000118443247203046
"RHO",2,"H2",2,0.00012764603392146,0.0033090507761787,0.0263351748207248,0,0
"RHO",2,"H3",2,9.47627324868931e-005,0.00393972609917801,0.0114722059557681,4.35005736327018e-116,0.000187462620178712
"RHO",2,"H4",2,0,0.00410705406634632,0.00711149502965958,0.000294123441955652,0.000790679407241025
"RHO",2,"H5",2,0.000200756984575568,0.00611563311321671,0.0038670559109823,0.00090822012416395,0.000725830697153634
"RHO",2,"H6",2,0.0104391263325112,0.0901046480248959,0.0237737573817744,0.0157910041859838,0.0178523857036944
"RHO",2,"H7",2,0.0156168875957127,0.236301650990721,0.0165571576121007,0.0148794352686514,0.0131675129235996
"RHO",2,"H8",2,0.0206822658890569,0.270881212743734,0.0483442805050783,0.0268441364580879,0.0168953640299301
"RHO",2,"H9",2,0.00938889927115325,0.253985965526894,0.0522341508306783,0.0110117593735649,0.0182852523327802
"RHO",2,"H10",2,0.0196316735606268,0.26352102902173,0.0498717153770683,0.013667992289151,0.0193347122796843
"RHO",2,"H11",2,0.0160897287243112,0.190919324054671,0.0342202442590367,0.00852240168024497,0.0206109466291527
"RHO",2,"H12",2,0.0109335015138251,0.306770212140341,0.035726454619257,0.0845459912902652,0.0165191137495624
"RHO",2,"H13",2,0.058961728511756,0.393613562470677,0.0608532246545764,0.00585400669185015,0.063760248972605
"RHO",2,"H14",2,0.0180095422709034,0.18910952322182,0.0627676553861429,0.0141662045480641,0.0173821582112254
"RHO",2,"H15",2,0.0156462881150806,0.229480409538324,0.0502716880596242,0.019804152522165,0.0172480199510935
"RHO",2,"H16",2,0.0191934643092183,0.211091209435159,0.0751270822722951,0.0245239279531911,0.0254646008358784
"RHO",2,"H17",2,0.035736562328205,0.232401423925235,0.09098210379152,0.0484504912566929,0.0303299158690414
"RHO",2,"H18",2,0.070810279939909,0.321401079165419,0.120850139772316,0.0542096626368308,0.0405449161343093
"RHO",2,"H19",2,7.90536694132886e-018,0.268557492571077,0.182349456431423,0.0500493649411498,0.15343748919159
"RHO",2,"H20",2,0.0547667566490344,0.260636755919921,0.290618570798351,0.0594289017769846,0.043682958302819
"RHO",2,"H21",2,0.0464446262153768,0.231808969039482,0.332428662167852,0.0489464442318976,0.0495629966129341
"RHO",2,"H22",2,0.0273369021941155,0.151931935303373,0.360316568635313,0.0198173518625927,0.0273048516052179
"RHO",2,"H23",2,0.0044438226041631,0.0475139748321188,0.195658900177177,0.00185839342582506,0.00575494502705638
"RHO",2,"H0",3,0.016528895478453,0.00314474878805148,0.139378580946122,0.0103067551323363,0.01740133673535
"RHO",2,"H1",3,0.0054762028133524,0.00118951052155978,0.103080082800275,0.00339993429535673,0.00591555779985623
"RHO",2,"H2",3,0.00402385748780099,0.00152146188243916,0.0523017432980411,0.00370829268475412,0.00293900920239733
"RHO",2,"H3",3,0.0043489400421965,0.00120454623795969,0.043580202730812,0.00236204192848398,0.00560008001617865
"RHO",2,"H4",3,0.00654703809036609,0.00100643315801683,0.0284039357376822,0.0076156668581176,0.00654645226326257
"RHO",2,"H5",3,0.0109917387262388,0.00223972571454644,0.0278682061128638,0.0163275870583069,0.0157253484133788
"RHO",2,"H6",3,0.102633881022851,0.0227562468817122,0.114767190317483,0.14513110081222,0.111660627634029
"RHO",2,"H7",3,0.275051884423001,0.0658251962909649,0.20217443400513,0.355622950075962,0.331819417703622
"RHO",2,"H8",3,0.349644810964743,0.0731897309233704,0.253818553901963,0.391087840540345,0.354453505692513
"RHO",2,"H9",3,0.314287348075495,0.070794954369852,0.315169380570686,0.319308579975767,0.351533158672712
"RHO",2,"H10",3,0.342877744446673,0.0777292833798346,0.340120971882892,0.356338470561663,0.367955633963657
"RHO",2,"H11",3,0.309444364757672,0.0552360367450865,0.297570865105281,0.157056065723615,0.31871744647409
"RHO",2,"H12",3,0.0856729329784509,0.0440362459715244,0.348405611144594,0.915454008709735,0.16660880636281
"RHO",2,"H13",3,0.628775090860326,0.0524229454759995,0.362820001504761,0.100532752422042,0.639665947304289
"RHO",2,"H14",3,0.220911300791204,0.0468238470954862,0.363611437036148,0.248258675850985,0.249780987949792
"RHO",2,"H15",3,0.298957256328406,0.0687008328439998,0.280698826961829,0.328314271037019,0.30236594416294
"RHO",2,"H16",3,0.244934976990899,0.0561026364060949,0.311754622860773,0.269810853563415,0.343355223826961
"RHO",2,"H17",3,0.288402693227543,0.0313362779086537,0.310363562574388,0.332923857760773,0.191644381348992
"RHO",2,"H18",3,0.479756743927671,0.034626157256416,0.28513334597048,0.378879413276654,0.199959927259354
"RHO",2,"H19",3,0.00012062482636247,0.0427684748577464,0.264357064715961,0.269664113624713,0.84656251080841
"RHO",2,"H20",3,0.346169196075454,0.0507235394592767,0.326043479452248,0.336504399353169,0.240756733762441
"RHO",2,"H21",3,0.312571573734038,0.0527623468494182,0.224722898210627,0.288902330879018,0.300373434248706
"RHO",2,"H22",3,0.203337152748066,0.0403674909682835,0.306808624714882,0.186380488109235,0.219951516334068
"RHO",2,"H23",3,0.063313444605869,0.0105987852311205,0.188330311346694,0.043993473704586,0.0648557000941429
